B9FU30_ORYSJ_284-472	B9FU30_ORYSJ_849-1024	Q5Z6I4_ORYSJ_261-445	Q5Z6I4_ORYSJ_857-1036	D0NKW7_PHYIT_491-663	D0NKW7_PHYIT_696-864	Q22US2_TETTS_932-1154	Q22US2_TETTS_1211-1402	Q22US2_TETTS_1444-1649	B9G1J5_ORYSJ_289-475	B9G1J5_ORYSJ_898-1071	C2GR1_ARATH_236-423	C2GR1_ARATH_844-1019	A9TQ08_PHYPA_235-415	A9TQ08_PHYPA_826-1012	C2GR2_ARATH_238-426	C2GR2_ARATH_849-1023	B9F3V9_ORYSJ_332-515	B9F3V9_ORYSJ_899-1075	A9SDA2_PHYPA_232-412	A9SDA2_PHYPA_817-1004	A9TQF1_PHYPA_224-401	A9TQF1_PHYPA_820-1003	Q7XKT6_ORYSJ_248-436	Q7XKT6_ORYSJ_859-1033	YSP2_YEAST_841-1021	YSP2_YEAST_1046-1230	A9RSX7_PHYPA_212-394	A9RSX7_PHYPA_807-992	F4HVW5_ARATH_257-449	YHO0_YEAST_751-934	YHO0_YEAST_957-1143	B9G4K6_ORYSJ_394-582	GRM1B_HUMAN_55-233	GRM1B_HUMAN_321-502	GRM1B_MOUSE_321-502	GRM1C_HUMAN_107-289	GRM1C_HUMAN_312-494	B3KUR5_HUMAN_45-223	GRM1C_MOUSE_107-289	Q8W4D4_ARATH_391-576	I7M7X5_TETTS_1013-1226	I7M7X5_TETTS_1307-1507	Q2MGF5_CAEEL_57-244	J3KR86_HUMAN_127-303	Q55FU7_DICDI_479-662	GRM1A_MOUSE_365-539	C4M0I0_ENTHI_201-371	C4M0I0_ENTHI_381-531	B3KQF7_HUMAN_127-303	Q8MRR1_DROME_41-220	Q86AF7_DICDI_286-471	D0MXP9_PHYIT_957-1148	Q8MKJ8_DROME_144-324	D0NMG0_PHYIT_279-489	B8C8I7_THAPS_81-294	Q22XZ6_TETTS_144-333	Q4P940_USTMA_827-1016	B9F0Z0_ORYSJ_387-537	B8BQ30_THAPS_365-549	V5IMN0_NEUCR_493-676	B9G4T6_ORYSJ_322-427	Q55CZ7_DICDI_2-179	F8WJ74_MOUSE_365-496	Q86AF6_DICDI_540-708	B8CDL4_THAPS_224-415	D0NJ57_PHYIT_385-538	YL072_YEAST_390-578	B8C2T9_THAPS_869-1064	Q4QEC5_LEIMA_378-547	B8CDL2_THAPS_184-373	Q4QEC6_LEIMA_54-221	Q8VZF8_ARATH_257-370	Q4Q507_LEIMA_35-214	C4LUM2_ENTHI_46-249	I7MCY9_TETTS_788-993	Q5BB65_EMENI_853-1030	YFE2_YEAST_402-586	B8BUE2_THAPS_254-437	Q23QL2_TETTS_311-513	Q7RWT3_NEUCR_945-1126	D0NHH4_PHYIT_394-641	Q6K8R7_ORYSJ_365-458	B8LDM5_THAPS_929-1109	I7M5W4_TETTS_346-560	
30.45	590.56	72.10	99999	374.72	358.35	99999	317.44	319.83	59.75	99999	68.96	488.89	117.66	396.97	82.80	99999	0.00	99999	109.79	303.79	124.77	337.78	101.00	99999	316.49	243.61	115.77	99999	320.93	284.87	267.47	563.09	236.91	242.30	242.30	213.05	213.05	221.74	206.93	99999	466.29	335.67	258.96	233.38	314.48	229.90	393.53	99999	233.38	267.47	265.21	274.53	240.49	495.36	99999	378.18	234.12	99999	349.46	252.88	303.79	393.53	210.38	260.83	466.29	665.99	263.11	99999	343.79	495.36	316.12	99999	99999	448.83	398.65	296.57	194.31	256.73	99999	99999	292.73	99999	353.50	443.32	
99999	45.63	99999	88.65	99999	363.80	424.26	99999	99999	99999	97.10	99999	105.90	99999	163.97	99999	147.14	99999	0.00	99999	194.49	99999	171.75	99999	134.90	99999	99999	99999	237.57	319.83	99999	99999	99999	269.88	272.19	284.87	99999	99999	99999	99999	99999	99999	99999	99999	325.78	99999	340.54	99999	99999	325.78	99999	99999	385.76	99999	265.28	393.53	99999	99999	99999	99999	99999	99999	99999	380.07	99999	288.29	352.68	99999	368.24	99999	99999	99999	298.78	99999	590.56	527.88	99999	99999	99999	99999	379.78	99999	99999	99999	99999	
118.86	373.48	106.20	341.11	344.30	296.08	99999	427.82	646.49	119.41	506.61	98.63	433.39	42.97	99999	107.37	329.46	109.79	99999	0.00	99999	30.87	99999	121.15	473.68	245.49	241.74	93.34	99999	286.67	254.89	334.01	300.96	230.72	230.72	230.72	263.11	263.11	263.11	252.88	317.67	99999	99999	249.29	207.14	390.66	198.41	239.26	99999	207.14	235.14	237.57	267.47	197.04	284.18	466.29	472.11	224.96	429.98	323.25	223.34	266.81	99999	196.57	190.03	341.11	454.21	235.84	334.01	537.52	405.66	413.10	366.44	336.42	281.72	99999	210.38	186.71	316.49	99999	341.11	274.19	403.62	235.50	368.24	
302.41	188.23	345.64	175.18	287.27	247.62	99999	99999	590.56	99999	181.93	334.73	188.23	429.58	37.31	418.15	148.18	303.79	194.49	99999	0.00	466.29	23.47	261.08	145.06	99999	429.58	274.19	91.51	426.15	99999	99999	353.98	263.11	269.68	269.68	311.35	311.35	319.83	330.33	289.19	99999	99999	317.67	392.03	334.01	424.26	99999	99999	392.03	99999	99999	308.28	99999	438.80	353.67	99999	281.14	334.01	299.42	99999	386.14	99999	99999	99999	265.34	260.51	99999	363.03	99999	305.28	99999	99999	99999	99999	99999	379.78	99999	99999	99999	554.56	99999	341.66	482.29	326.75	
120.85	358.35	103.74	337.12	499.61	442.46	99999	313.91	99999	119.97	473.68	92.72	99999	35.45	405.66	118.53	99999	124.77	99999	30.87	466.29	0.00	368.24	114.06	460.32	282.33	265.34	89.32	646.49	279.29	333.24	305.28	292.73	236.91	236.91	236.91	252.88	252.88	252.88	252.88	308.28	590.56	99999	195.67	218.55	413.10	215.38	258.71	99999	218.55	302.32	269.68	337.12	202.65	305.28	99999	390.66	227.35	99999	305.28	218.55	255.90	99999	212.40	196.94	363.20	99999	349.46	373.48	492.50	466.29	413.10	437.01	460.32	252.88	99999	246.95	192.94	306.87	99999	99999	308.28	403.62	244.49	433.39	
312.61	174.71	324.26	170.02	323.64	258.43	319.83	99999	398.65	99999	161.07	331.16	184.44	99999	33.76	372.93	144.98	337.78	171.75	99999	23.47	368.24	0.00	309.62	179.43	646.49	405.66	337.78	94.12	320.93	479.85	99999	341.66	274.53	281.72	281.72	279.29	279.29	274.53	308.28	271.92	99999	99999	363.03	99999	390.66	99999	99999	99999	99999	413.10	99999	302.32	495.36	535.39	349.15	838.97	289.19	321.19	316.49	781.53	279.16	99999	99999	99999	228.17	309.38	99999	513.50	99999	373.48	99999	99999	99999	99999	99999	424.26	99999	554.56	99999	392.03	99999	303.79	99999	337.12	
89.64	326.75	95.66	276.48	289.19	299.13	99999	546.05	413.10	110.26	293.77	88.06	333.24	107.37	259.07	93.63	358.35	101.00	99999	121.15	261.08	114.06	309.62	0.00	344.78	256.91	211.56	109.84	501.72	383.66	292.73	317.67	349.75	198.41	202.55	202.55	222.70	222.70	216.49	237.57	303.79	99999	99999	237.57	243.61	324.26	248.91	460.32	99999	243.61	311.35	261.08	334.01	251.21	229.85	378.95	288.37	177.06	592.64	358.35	281.72	234.90	488.89	269.06	358.35	99999	407.24	259.07	99999	310.47	99999	303.79	99999	742.72	331.16	326.75	241.74	224.96	405.66	393.53	99999	563.09	418.15	229.03	99999	
374.08	151.69	344.78	141.90	512.64	334.87	99999	99999	99999	318.67	138.85	374.08	129.28	99999	158.83	415.79	108.39	99999	134.90	473.68	145.06	460.32	179.43	344.78	0.00	99999	99999	99999	189.09	580.32	99999	99999	300.77	363.39	363.39	400.50	328.53	328.53	328.53	386.94	300.77	99999	99999	99999	315.24	99999	315.24	99999	99999	315.24	99999	632.05	336.42	358.35	99999	99999	99999	270.10	328.53	328.53	340.54	99999	99999	269.31	99999	332.42	488.89	99999	374.08	404.76	580.32	330.61	99999	99999	99999	99999	407.90	99999	99999	99999	258.71	99999	99999	618.37	99999	
271.92	99999	281.72	99999	278.33	278.33	99999	358.35	99999	405.66	99999	258.96	433.39	292.73	479.85	99999	99999	316.49	99999	245.49	99999	282.33	646.49	256.91	99999	0.00	94.65	254.89	99999	271.66	61.04	114.45	99999	292.73	292.73	308.28	302.32	302.32	302.32	274.53	542.86	99999	308.60	306.68	276.90	278.80	272.19	340.54	307.35	290.07	341.11	289.19	281.14	479.85	426.15	99999	601.02	148.93	99999	535.39	118.00	243.95	99999	336.05	318.67	99999	398.95	153.16	99999	618.37	590.56	99999	306.22	99999	99999	535.39	114.13	177.06	99999	99999	396.97	99999	99999	410.37	99999	
234.12	99999	258.96	527.88	375.42	258.43	281.72	244.49	302.32	235.14	473.68	258.96	325.78	272.19	311.35	267.47	303.79	243.61	99999	241.74	429.58	265.34	405.66	211.56	99999	94.65	0.00	229.03	358.35	542.86	121.44	64.90	99999	274.53	279.29	279.29	227.35	227.35	227.35	235.14	299.68	298.17	275.29	267.34	282.33	291.76	291.01	265.41	307.35	282.33	274.53	265.21	345.64	345.22	661.94	99999	99999	161.00	468.63	337.78	127.27	259.65	99999	352.15	358.35	99999	236.34	167.26	349.75	381.66	99999	369.48	474.57	99999	99999	781.53	118.40	160.31	99999	400.50	99999	438.80	535.39	275.71	317.67	
118.33	99999	102.06	495.36	344.30	712.68	99999	99999	99999	108.19	99999	89.86	99999	70.04	363.03	111.06	99999	115.77	99999	93.34	274.19	89.32	337.78	109.84	99999	254.89	229.03	0.00	99999	372.93	229.03	261.02	99999	210.08	213.05	219.58	279.29	279.29	279.29	267.47	396.97	495.36	99999	228.21	220.14	265.21	224.02	248.50	468.63	220.14	267.47	309.62	238.70	218.03	298.17	99999	202.46	214.54	99999	99999	247.38	249.56	344.78	221.41	311.88	466.29	258.11	267.34	390.66	273.13	256.91	256.13	99999	460.32	317.67	99999	231.64	191.74	590.56	99999	368.24	337.78	99999	277.82	99999	
99999	197.07	99999	203.81	273.13	300.56	443.32	317.44	454.21	99999	197.04	485.91	197.04	99999	85.91	99999	177.38	99999	237.57	99999	91.51	646.49	94.12	501.72	189.09	99999	358.35	99999	0.00	271.92	99999	99999	271.92	99999	99999	99999	99999	99999	99999	99999	247.38	99999	99999	353.83	99999	267.47	99999	418.77	419.56	99999	99999	513.50	313.22	378.95	378.95	473.68	459.86	390.66	263.11	99999	590.56	323.86	99999	99999	99999	306.87	309.38	99999	345.22	99999	413.10	475.54	256.24	99999	601.02	99999	506.61	99999	99999	99999	99999	99999	237.57	339.92	433.39	
338.40	316.49	485.91	99999	207.83	222.00	383.66	254.65	245.95	661.94	293.77	358.35	363.20	274.19	283.52	349.75	313.22	320.93	319.83	286.67	426.15	279.29	320.93	383.66	580.32	271.66	542.86	372.93	271.92	0.00	520.30	99999	248.56	337.78	349.75	349.75	472.11	472.11	448.83	410.66	261.14	271.66	220.73	233.87	295.43	175.63	305.28	269.88	294.27	295.43	289.19	180.58	212.36	267.34	168.36	195.73	203.69	287.60	247.14	244.60	99999	65.92	269.68	278.33	258.84	229.85	219.76	388.23	293.36	225.50	300.96	248.07	3.60	368.24	195.79	211.24	448.83	444.06	208.36	479.85	459.86	372.42	232.25	546.05	299.68	
314.48	99999	295.43	99999	344.30	321.04	99999	99999	438.80	319.83	99999	249.29	646.49	308.28	429.58	373.48	99999	284.87	99999	254.89	99999	333.24	479.85	292.73	99999	61.04	121.44	229.03	99999	520.30	0.00	129.28	571.67	267.47	267.47	267.47	302.32	302.32	302.32	302.32	454.21	378.18	288.29	472.11	256.91	410.66	247.38	433.39	358.35	256.91	341.11	99999	338.40	99999	99999	99999	99999	149.93	99999	99999	140.88	375.07	99999	281.52	554.56	99999	99999	163.54	542.86	418.77	337.12	712.68	99999	99999	99999	99999	123.87	165.69	99999	99999	367.89	99999	99999	270.10	353.98	
247.79	99999	245.95	590.56	99999	99999	99999	433.39	99999	240.49	99999	276.48	368.24	363.03	448.83	390.66	99999	267.47	99999	334.01	99999	305.28	99999	317.67	99999	114.45	64.90	261.02	99999	99999	129.28	0.00	99999	337.78	337.78	363.03	269.68	269.68	269.68	269.68	491.85	99999	424.26	520.30	358.35	285.93	349.46	279.82	99999	358.35	330.33	297.00	305.19	535.39	99999	99999	99999	157.23	687.71	838.97	125.26	454.21	99999	99999	333.24	99999	298.78	269.31	99999	99999	99999	99999	99999	99999	99999	838.97	127.27	181.75	99999	341.11	99999	99999	342.64	99999	542.86	
434.76	413.10	501.72	421.05	191.25	260.83	312.61	385.76	341.66	99999	299.42	383.66	345.22	274.19	297.00	345.64	99999	563.09	99999	300.96	353.98	292.73	341.66	349.75	300.77	99999	99999	99999	271.92	248.56	571.67	99999	0.00	601.02	838.97	838.97	303.79	303.79	320.93	320.93	57.22	426.15	306.87	325.21	334.01	202.37	349.46	353.67	308.96	334.01	245.95	278.33	342.16	278.80	278.33	221.74	346.03	388.23	81.65	220.57	99999	207.96	781.53	281.52	392.03	99999	322.46	99999	293.36	344.30	563.09	313.91	308.44	479.85	601.02	99999	99999	99999	274.19	99999	281.14	389.40	104.43	328.53	99999	
216.49	282.33	183.19	316.49	99999	296.08	443.32	344.30	373.48	202.65	407.90	166.03	260.90	214.95	302.32	170.04	285.62	236.91	269.88	230.72	263.11	236.91	274.53	198.41	363.39	292.73	274.53	210.08	99999	337.78	267.47	337.78	601.02	0.00	-0.00	2.27	73.32	73.32	73.32	71.93	367.89	323.25	258.57	177.06	74.73	271.92	76.12	368.62	358.35	74.73	135.20	177.81	230.72	147.93	286.67	344.78	305.28	263.11	99999	281.72	258.96	408.86	374.08	95.24	285.62	99999	246.62	289.19	311.35	313.91	99999	293.10	99999	99999	454.21	368.24	245.49	247.38	306.87	400.50	298.17	99999	295.91	263.11	363.20	
